Date,Open,High,Low,Close,Adj Close,Volume
8/1/2021,2170,2530,2140,2350,2295.747803,110748000
9/1/2021,2400,3050,2350,2660,2598.591064,284101500
10/1/2021,2650,2980,2610,2690,2627.898438,107574100
11/1/2021,2700,2700,2400,2410,2354.362549,110416900
12/1/2021,2440,2510,2300,2350,2295.747803,61795900
1/1/2022,2350,2460,2300,2400,2344.593506,41035300
2/1/2022,2410,2540,2350,2380,2325.055176,54677100
3/1/2022,2390,2470,2270,2440,2383.669922,43934900
4/1/2022,2440,2510,2300,2450,2393.439209,56452900
5/1/2022,2450,2560,2320,2560,2560,51642300
6/1/2022,2570,2710,2340,2350,2350,69623100
7/1/2022,2350,2370,2300,2320,2320,3714800
7/5/2022,2330,2360,2320,2350,2350,1399700
